code,title,credits,description,prerequisites
PHYS 4267,Nonlinear Dynamics and Chaos,3,"A modern introduction to nonlinear phenomena.  Topics include driven oscillators, entrainment, bifurcation, fractals, and control of chaos.  Examples are drawn from physical systems.",
PHYS 4321,Advanced Laboratory I,3,Experiments are conducted that demonstrate basic principles from various fields of physics.  An emphasis is placed on contemporary concepts in modern physics.,
PHYS 4322,Advanced Laboratory II,3,A continuation of PHYS 4321 .  Experiments are conducted that demonstrate basic principles from various fields of physics. An emphasis is placed on contemporary concepts in modern physics.,
PHYS 4347,Fundamentals of Astrophysics,3,"Theoretical investigation of astrophysical objects and processes, with an emphasis on the interstellar medium, extragalactic astrophysics, gas dynamics, and radiative transfer, and radiation processes.",
PHYS 4421,Introduction to Continuum Physics,3,"A modern introduction to continuum physics.  Topics include elastic theory, dislocations and waves, fluid mechanics and dynamics, and instabilities in fluids.",
PHYS 4601,Senior Seminar I,1,"Representative research programs in the School are described by advanced graduate students, post-doctoral fellows and faculty members.",
PHYS 4602,Senior Seminar II,1,"Representative research programs in the school are described by advanced graduate students, post-doctoral fellows, and faculty members.",
PHYS 4655,Introductory Diffraction Studies,4,"Introductory theory and practice of x-ray and neutron diffraction techniques, including single crystals and powders.  Laboratory work is strongly correlated with principles developed in the lectures.",
PHYS 4740,Estimation and Approximation in Physics,3,"Applications of order-of-magnitude estimates, dimensional analysis, scaling arguments, and perturbation theory in different areas of physics.",
PHYS 4751,Laser Theory and Applications,3,Provides an introduction to the theory and applications of laser principles and related instrumentation. Emphasis is on the fundamental principles underlying laser action. Crosslisted with ECE 4751 .,ECE 4751
PHYS 4782,Quantum Information and Quantum Computing,3,"Introduction to quantum computing and quantum information theory, formalism of quantum mechanics, quantum gates, algorithms, measurements, coding, and information.  Physical realizations and experiments. Crosslisted with MATH 4782 .",MATH 4782
PHYS 4801,Special Topics,1,Courses in special topics of current interest in physics are presented from time to time.,
PHYS 4802,Special Topics,2,Courses in special topics of current interest in physics are presented from time to time.,
PHYS 4803,Special Topics,3,Courses in special topics of current interest in physics are presented from time to time.,
PHYS 4804,Special Topics,4,Courses in special topics of current interest in physics are presented from time to time.,
PHYS 4813,Special Topics,3,Courses in special topics of current interest in physics are presented from time to time.,
PHYS 4823,Special Topics,3,Courses in special topics of current interest in physics are presented from time to time.,
PHYS 4833,Special Topics,3,Courses in special topics of current interest in physics are presented from time to time.,
PHYS 4854,Special Topics,4,Courses in special topics of current interest in physics are presented from time to time.,
PHYS 6101,Classical Mechanics I,3,"Newtonian mechanics, Hamilton's variational principle, Lagrangian and Hamiltonian mechanics, central forces, rigid body motion, and small oscillations.",Graduate standing required
PHYS 6103,Electromagnetism,3,"An advanced treatment of electromagnetism. Topics include boundary value problems in electrostatics and magnetostatics, Maxwell’s equations, and radiation from charged particles.",Graduate standing required
PHYS 6104,Electromagnetism II,3,"Theory of generation of electromagnetic waves, their propagation, scattering, and diffraction.  Covariant formulation of electrodynamics and application to radiation from charged particles.",Graduate standing required
PHYS 6105,Quantum Mechanics I,3,"An axiomatic development of quantum mechanics. Topics include linear vector spaces, linear operators, infinitesimal transformations, function space, representation and transformation groups.",Graduate standing required
PHYS 6106,Quantum Mechanics II,3,"Applications of quantum mechanics.  Topics include systems with spin and angular momentum, atomic structure, time-dependent phenomena, scattering, and various methods of modeling and approximations.",Graduate standing required
PHYS 6107,Statistical Mechanics I,3,Equilibrium statistical mechanics for closed and open systems. Probability distribution for classical and quantum systems.  Partition functions and associated thermodynamical potentials.,Graduate standing required
PHYS 6124,Mathematical Methods of Physics I,3,"First of two courses on mathematical methods used in classical mechanics, electromagnetism, quantum mechanics, and statistical physics.  Topics include complex analysis, vectors and matrices, and Sturm-Liouville theory.",Graduate standing required
PHYS 6203,Solid State Physics,3,"A first course in the physics of crystalline solids. Core topics include crystal lattices, diffraction, bonding, elastic properties, band theory, as well as others.",Graduate standing required
PHYS 6204,Electronics I,4,A first course in both theoretical and applied electronics that is based on a thorough grounding in circuit as well as device physics.,Graduate standing required
PHYS 6206,Electronics II,4,"A course in electronic instrumentation with an emphasis on signal processing, both analog and digital, and computer interfacing.",Graduate standing required
PHYS 6210,Condensed Matter Physics I,3,"Introduction to condensed matter physics. Crystal structure, electronic and thermal properties, response to external electric and magnetic fields.",Graduate standing required
PHYS 6211,Condensed Matter Physics II,3,"Collective and many-electron properties in condensed matter systems.  Topics include second quantization, magnetism, phase transitions, and superconductivity.",Graduate standing required
PHYS 6250,Biophysics,3,"Introduction to physical concepts connect to the workings of biological systems at a molecular level. Topics include polymer theory of proteins, diffusion, and bioelectricity.",Graduate standing required
PHYS 6260,Computational Physics,3,"Applications of numerical methods and computer programming to condensed matter; astrophysical hydrodynamics, gravitational physics, black holes and cosmology.",Graduate standing required
PHYS 6262,Data Science for Physicists,3,"Introduction to probability theory, classical statistics and machine learning, and their application to physics.",Graduate standing required
PHYS 6265,Atomic Physics I,3,This course provides a detailed description of atomic structures and interactions.  It contains applications of advanced quantum mechanics to problems in modern atomic physics.,Graduate standing required
PHYS 6267,Atomic Physics II,3,This course will provide detailed descriptions of non-relativistic atomic/molecular scattering/reaction processes.,Graduate standing required
PHYS 6268,Nonlinear Dynamics and Chaos,3,"A modern introduction to nonlinear phenomena. Topics include driven oscillators, entrainment, bifurcation, fractals, and control of chaos. Examples are drawn from physical systems.",Graduate standing required
PHYS 6567,Ultrafast Optics,3,"A modern introduction to ultrafast optical phenomena. Topics include the generation, amplification, measurement, nonlinear optics, propagation, focusing, shaping and applications of ultrashort laser pulses.",Graduate standing required
PHYS 6740,Estimation and Approximation in Physics,3,"Applications of order-of-magnitude estimates, dimensional analysis, scaling arguments, and perturbation theory in different areas of physics.",Graduate standing required
PHYS 6750,Foundations of Quantitative Biosciences,4,"Introduction to quantitative methods and logic that enable key advances in understanding living systems, spanning molecules, cells, organisms, and biomes.",Graduate standing required
PHYS 6771,"Optoelectronics: Materials, Processes, Devices",3,"Optoelectronic materials, physical processes, and devices. Includes compound semiconductor materials, excitation, recombination, gain, and modulation processes, and devices such as emitters, detectors, and modulators. Crosslisted with ECE 6771 .",Graduate standing required; ECE 6771
PHYS 6801,Grant Writing and Navigating the Scientific Landscape,3,"An introduction to the skills of a professional scientist both within academia and beyond, focusing on preparing grants and proposals, scientific communication and career preparation. PHYS 6XXX.  Physics Elective.  1-21 Credit Hours.",Graduate standing required
PHYS 7123,Statistical Mechanics II,3,"Principles of nonequilibrium statistical mechanics, both classical and quantal.  Emphasis is on the dynamics of fluctuations, their measurement, and their relationship to transport properties.",None
PHYS 7125,Introduction to Relativity,3,"The theory of gravity, describing how matter curves spacetime and spacetime guides matter, with its experimental and theoretical applications.",Graduate standing required
PHYS 7127,Cosmology & Galaxies,3,"Overview of the relevant physics that govern cosmological processes, and galaxy formation and evolution. Topics include inflation, gravitational collapse, large-scale clustering, and galaxy mergers.",Graduate standing required
PHYS 7129,High-Energy Astrophysics,3,"Introduction to high-energy astrophysical processes and environments, including astrophysical fluid dynamics (e.g., shocks and blast waves), accretion onto compact objects, and clusters of galaxies.",Graduate standing required
PHYS 7141,Many-Particle Quantum Mechanics,3,"Quantum mechanics of interacting Fermi and Bose particles. Topics include second quantization, diagrammatic purturbation theory, variational methods, and path integrals.",Graduate standing required
PHYS 7143,Group Theory and Quantum Mechanics,3,"Foundations of group representation theory with applications in atomic, molecular, nuclear, and solid state physics.",Graduate standing required
PHYS 7147,Quantum Field Theory,3,"Introduction to quantum field theory, with an emphasis in quantum electrodynamics.  Second quantization, Dirac equation, Feynman diagrams, quantum electrodynamics, electro-weak interactions.",Graduate standing required
PHYS 7222,Quantum Optics I,3,"Basic course on the interaction of light with matter, based on quantum theory.  Applications to the laser and to the study of coherence properties of light.",Graduate standing required
PHYS 7223,Quantum Optics II,3,Advanced treatment of the interaction of light with matter using modern methods of open quantum systems.  Applications to current research.,Graduate standing required
PHYS 7224,Nonlinear Hamiltonian Dynamics and Chaos,3,"A course on nonlinear dissipative dynamical systems, with an emphasis in aspects relevant to physicists.  Topics include bifurcation theory, attractors, renormalization group techniques, and pattern formation.",Graduate standing required
PHYS 7268,Spatio-Temporal Dynamics and Pattern Formation,3,"A theoretical description of dynamics and pattern formation in physical, chemical and biological systems driven out of equilibrium. Topics include linear and weakly nonlinear analysis of patterns, bifurcation theory and amplitude equations.",Graduate standing required
PHYS 7741,Robotics Professional Preparation,1,Preparation for a professional career in Robotics. Local & visiting speakers. Program introduction. Technical resume preparation. GT Robotics labs & resources.,Graduate standing required
PHYS 7742,Robotics Professional Preparation 2,1,Preparation for a professional career in Robotics. Local & visiting speakers. Selecting and applying for Internship. Developing capstone project proposal. Public speaking practice and preparation.,Graduate standing required
PHYS 7743,Robotics Professional Preparation 3,1,Preparation for a professional career in Robotics. Local & visiting speakers. Interview preparation & career search. Technical report writing and presentation.,Graduate standing required
PHYS 8001,Seminar,1,"Representative research programs in the School are described by advanced graduate students, post-doctoral fellows, and faculty members. The experimental basis of physics is illustrated through accounts of great experiments of importance to contemporary research.",Graduate standing required
PHYS 8002,Graduate Student Seminar,2,"Representative research programs in the School are described by advanced graduate students, post-doctoral fellows, and faculty members. The experimental basis of physics is illustrated through accounts of great experiments of importance to contemporary research.",Graduate standing required
PHYS 8741,Robotics Capstone Project,3,Teams or individuals apply the knowledge and skills acquired throughout the MS program to a faculty supervised robotics project.,Graduate standing required
PHYS 8801,Special Topics,1,,
PHYS 8802,Special Topics,2,,
PHYS 8803,Special Topics,3,,
PHYS 8804,Special Topics,4,,
PHYS 8805,Special Topics,5,,
PHYS 8813,Special Topics,3,Courses in special topics of current interest in physics are presented from time to time.,Graduate standing required
PHYS 8814,Special Topics,4,Special Topics for Physics (lecture + supervised lab).,Graduate standing required
PHYS 8823,Special Topics,3,Courses in special topics of current interest in physics are presented from time to time.,Graduate standing required
PHYS 8833,Special Topics,3,Courses in special topics of current interest in physics are presented from time to time.,Graduate standing required
POL 1101,Government of the United States,3,"The purposes, structure, and functions of national and state governments, focusing on participation, institutions, and the policy process.  Foundations of law, civil rights and civil liberties, role of the media, parties and elections, and policy process. Includes study of the Constitution of Georgia. Credit not allowed for both POL 1101 and INTA 1200 .",Credit restriction: POL 1101 and INTA 1200; POL 1101 and INTA 1200
POL 2101,State and Local Government,3,Politics and government processes at the state and local levels.,
PORT 1001,Elementary Portuguese I,3,"Introduction to listening, speaking, reading and writing Portuguese and to the culture of Portuguese-speaking regions. Taught in Portuguese. No native speakers allowed.",
PORT 1002,Elementary Portuguese II,3,"Continued listening, speaking, reading and writing in Portuguese with further study of the culture of Portuguese-speaking regions. Taught in Portuguese. No native speakers allowed.",
PORT 1501,Heritage Portuguese I,3,"For heritage students in the U.S. who have never studied Portuguese formally, but who speak some Portuguese, or for advanced speakers of Spanish who wish to learn Portuguese.",
PORT 1801,Special Topics,1,Topics of current interest in Portuguese languages.,
PORT 1803,Special Topics,3,Topics of current interest in Portuguese languages.,
PORT 1804,Special Topics,4,Topics of current interest in Portuguese languages.,
PORT 1813,Special Topics,3,Topics of current interest in Portuguese languages.,
PORT 1814,Special Topics,4,Topics of current interest in Portuguese languages.,
PORT 1823,Special Topics,3,Topics of current interest in Portuguese languages.,
PORT 1824,Special Topics,4,Topics of current interest in Portuguese languages.,
PORT 2001,Intermediate Portuguese I,3,"Review of basic grammatical concepts: conversational, reading, and writing activities; cultural aspects of the Portuguese world. Conducted in Portuguese. No native speakers allowed.",
PORT 2002,Intermediate Portuguese II,3,"Continued development of grammatical concepts, vocabulary, and conversational abilities. Readings, audio and video material on the culture. Taught in Portuguese.",
PORT 2501,Heritage Portuguese II,3,This course is the continuation of PORT 1501 or is for intermediate-level Portuguese heritage students or advanced Spanish speakers. Taught in Portuguese.,
PORT 2813,Special Topics,3,Topics of current interest in Portguese languages.,
PORT 3420,Introduction to Africa,3,"This interdisciplinary course will use a variety of approaches to study significant aspects of contemporary Africa’s societies, cultures, and representations. Taught in English.",
PORT 3813,Special Topics,3,Topics of current interest in Portuguese languages.,
PORT 3823,Special Topics,3,Topics of current interest in Portuguese languages.,
PORT 3833,Special Topics,3,Topics of current interest in Portuguese languages. PORT 3XXX.  Portuguese Elective.  1-21 Credit Hours.,
PORT 4813,Special Topics,3,Topics of current interest in Portuguese languages.,
PORT 4823,Special Topics,3,Topics of current interest in Portuguese languages.,
PORT 4833,Special Topics,3,Topics of current interest in Portuguese languages.,
PORT 8803,Special Topics,3,Special Topics in Portuguese language.,Graduate standing required
DOPP 2001,Preparation for Work in a Global Economy,1,Preparation for work in a global economy.  May be used as free elective credit with departmental approval.,
PSYC 1101,General Psychology,3,"A broad survey of the major topics in psychology including, but not limited to, research methodology, biological and social factors influencing behavior, development, learning, memory, personality, and abnormal. PSYC 1XXX.  Psychology Elective.  1-21 Credit Hours.",
PSYC 2005,Exploring Multicultural Identities,3,This course explores multicultural identities and key multicultural competencies needed to succeed in a global and international society.,
PSYC 2012,Introduction to Research Methods,3,"Introduction to methods used in conducting research on human behavior. Experimental research emphasized, but course covers other methods and some statistics.",
PSYC 2015,Research Methods,4,"Introduction to methods used in conducting research on human behavior. Experimental research emphasized, but course covers other methods and some statistics.",
PSYC 2020,Psychological Statistics,4,"Introduction to probability and statistics as applied to psychological data.  Tests for means, variances, correlation, ANVOA, and regression.  Credit not allowed for both PSYC 2020 and PSYC 6022 .",Credit restriction: PSYC 2020 and PSYC 6022; PSYC 2020 and PSYC 6022
PSYC 2103,Human Development Over the Life Span,3,"An introductory, non-laboratory based examination of human development across the lifespan with an emphasis on typical patterns of physical, cognitive, and social development.",
PSYC 2130,Introduction to Educational Psychology,3,Introduction to Educational Psychology applies the basic principles of child and adolescent development to the study of teaching and learning.,
PSYC 2210,Social Psychology,3,"Consideration of the behavior of individuals in social contexts, including interpersonal and group settings.",
PSYC 2220,Industrial/Organizational Psychology,3,An introduction to industrial/organizational psychology providing an overview of behavior in the workplace and psychology applied in industrial and organizational settings.,
PSYC 2230,Abnormal Psychology,3,"This course surveys the spectrum of psychiatric disorders (symptoms, epidemiology, etiology, and treatment) and provides a perspective on adaptive functioning and psychological resilience.",
PSYC 2240,Personality Theory,3,Introduction to major approaches to personality theory.,
PSYC 2250,Cross-Cultural Psychology,3,This course provides students with an opportunity to learn about the similarities and differences in human behavior across cultures.,
PSYC 2270,Introduction to Engineering Psychology,3,Engineering psychology presented as an integral component in the design and evaluation of human-machine systems. Applied problems and general methodological questions are examined.,
PSYC 2280,Psychology of Creativity and Art,3,Evolutionary theories of art production and consumption; the psychology of aesthetics; psychological correlates of creative and artistic behavior.,
PSYC 2760,Human Language Processing,3,"Theories and research in psychlinguistics: how people comprehend and speak human languages. Includes speech perception, word recognition, parsing, sentence interpretation, word production, and sentence generation. Crosslisted with LING 2760.",LING 2760
PSYC 2801,Special Topics,1,Special topics of current interest.,
PSYC 2802,Special Topics,2,Special topics of current interest.,
PSYC 2803,Special Topics,3,Special topics of current interest.,
PSYC 3000,"Science of Stress, Anxiety, and Happiness",3,This course will cover the psychological and neuroscientific mechanisms underlying happiness and its relation to subjective health and well-being.,
PSYC 3005,Mindfulness: Science and Practice,3,This experiential course is an introduction to mindfulness where students will study the theory of mind-body awareness and apply principles to daily life.,
PSYC 3009,Health Psychology,3,This course is designed to provide a broad overview of the psychological influences on health and illness in our society.,
PSYC 3011,Cognitive Psychology,4,"Exploration of the central aspects of human cognition including pattern recognition, attention, memory, language, categorization, problem solving, and decision making; phenomena and methods are stressed.  Credit not allowed for both PSYC 3011 and PSYC 3012 .",Credit restriction: PSYC 3011 and PSYC 3012; PSYC 3011 and PSYC 3012
PSYC 3012,Introduction to Cognitive Psychology,3,"Examines the foundations of Cognitive Psychology including methods, analysis techniques and psychological theories involved in perception, attention, memory, problem solving, decision making, and language.  Credit not allowed for both PSYC 3012 and PSYC 3011 .",Credit restriction: PSYC 3012 and PSYC 3011; PSYC 3012 and PSYC 3011
PSYC 3020,Biopsychology,3,"Neurophysiological, endocrinological, and biochemical bases of sensory and motor functioning, motivation, learning, memory, and behavior dysfunction.",
PSYC 3031,Experimental Analysis of Behavior,4,"History, theory, and methods of behavior analysis. Topics include shaping, stimulus-stimulus and response-consequence contingencies, stimulus control, and choice.",
PSYC 3040,Sensation and Perception,3,"An examination of how sensations and perceptions are processed by humans.  Topics covered will include vision, hearing, the skin senses, taste, smell, and the vestibular senses.",
PSYC 3041,Human Sensation and Perception,4,An examination of human sensory systems and perceptual processes. For Psychology majors only.,
PSYC 3100,Neuroscience of Mental Health,3,This course will introduce the science of well-being and provide an in-depth examination of the neural mechanisms underlying well-being and various character strengths.,
PSYC 3750,Human Computer Interface Design and Evaluation,3,Human computer interface is considered in terms of user-system compatibility. Concepts in human factors and interface design are covered in relation to capabilities of both humans and computers. Crosslisted with CS 3750 .,CS 3750
PSYC 3751,Introduction to User Interface Design,3,Describes the characteristics of interaction between humans and computers and demonstrates techniques for the design and evaluation of user interfaces and computational systems.,
PSYC 3790,Introduction to Cognitive Science,3,"Multidisciplinary perspectives on cognitive science. Interdisciplinary approaches to issues in cognition, including memory, language, problem solving, learning, perception, and action. Crosslisted with CS, PST, and ISYE 3790 .","CS, PST, and ISYE 3790"
PSYC 3803,Special Topics,3,Special Topics.,
PSYC 3873,Special Topics,3,Special Topics in Psychology. PSYC 3XXX.  Psychology Elective.  1-21 Credit Hours.,
PSYC 4010,Human Abilities,3,"Introduction to differential psychology providing an overview of differences in humans. Topics such as abilities, temperament, and group differences (e.g., gender) are addressed.",
PSYC 4011,Cognitive Psychology,4,"Exploration of the central aspects of human cognition including pattern recognition, attention, memory, language, categorization, problem solving, and decision making; phenomena and methods are stressed. Credit will not be awarded for both PSYC 4011 and PSYC 3011 .",
PSYC 4020,Biopsychology,3,"Neurophysiological, endocrinological, and biochemical bases of sensory and motor functioning, motivation, learning, memory, and behavior dysfunction. Credit will not be awarded for both PSYC 4020 and PSYC 3020 or PSYC 4020 and NEUR 3003 .",
PSYC 4025,Learning and Memory,3,"Research and applications concerning acqusition of new behavior and knowledge, including accounts based on classical and instrumental conditioning and information-processing models of memory and learning.",
PSYC 4031,Applied Experimental Psychology,4,Consideration of the applications of methods and data of experimental psychology.  Understanding of human capabilities and limitations is applied to design of technology and environments.,
PSYC 4041,Human Sensation and Perception,4,An examination of human sensory systems and perceptual processes. Credit will not be awarded for both PSYC 4041 and PSYC 3041 .,
PSYC 4050,History and Systems,3,"A survey of the history, methods, and content of modern psychological theory, research, and application. Schools of psychology (e.g., structuralism, functionalism, behaviorism, gestalt psychology) and central theories of psychology will be reviewed in their historical and philosophical context.",
PSYC 4090,Cognitive Neuroscience,3,"Examination of the neural basis of cognitive function. Basic anatomy and methods are covered. Primary focus is on contemporary problems in the neurocognitive study of perception, memory, language, and attention, as well as disorders in these domains.",
PSYC 4100,Behavioral Pharmacology,3,"An analysis of drug-behavior interactions with emphasis on basic pharmacology, role of contingencies in drug effects, mechanisms of drug dependency, drugs as stimuli, and basic neuropharmacology.",
PSYC 4200,Advanced Topics in Cognitive Psychology,3,An advanced survey in various topics in cognitive psychology.  Topics will vary over time.,
PSYC 4260,Psychology of Aging,3,Survey of research concerned with the nature and causes of adult age differences in behavior.,
PSYC 4270,Psychological Testing,3,"Fundamentals of psychological test construction (reliability and validity) and applications of intelligence, personality, and interest assessment.  Topics will include theoretical, practical, ethical, and legal issues.",
PSYC 4600,Senior Thesis I,3,The first of a two course sequence in which selected students conduct original work under the direction of a faculty member. The student will produce a proposal for research that will be undertaken during the second course ( PSYC 4601 ).,
PSYC 4601,Senior Thesis II,4,The second of a two course sequence in which selected students conduct original work under the direction of a faculty member.,
PSYC 4690,Sensation and Perception: A Computational Perspective,3,"Explore advanced models of human brain and behavior, review the field's progress, and assess current approaches' strengths and limitations. Engage in hands-on group projects developing computational models.",
PSYC 4696,Undergraduate Teaching Assistantship,0,"Psychology teaching assistantship for pay under the guidance of a faculty member. Permit only.
Note: This course cannot count toward Psychology Electives or Free Electives.",
PSYC 4697,Psychology Undergraduate Teaching Experience,3,"An introduction to teaching biology for undergraduate teaching assistants, with a focus on effective teaching, active engagement of students, and development of innovative classroom activities.",
PSYC 4740,Neuroethics,3,"This course considers the implications of neuroscience research on culture, society, the legal system, and on how individuals conceive of their nature as human beings.",
PSYC 4745,Physics of Cognition,3,"The course delves into perception, memory, and learning through physical principles. Students study cognition's physical basis, modern neural recording, and data interpretation.",
PSYC 4770,Psychology and Environmental Design,3,Introduction of psychological concepts relevant to environmental design. Survey of selected methods for assessing human-made environments and development of design solutions to selected problems. Crosslisted with ARCH 4770 .,ARCH 4770
PSYC 4790,Seminar in Cognitive Science,3,"A seminar-type course in cognitive science focusing on integrating and deepening students' cognitive science knowledge and skills.  Topics include memory, language, problem solving, learning, perception, and action. Crosslisted with CS, PST, and ISYE 4790.","CS, PST, and ISYE 4790"
PSYC 4791,Integrative Project in Cognitive Science,3,"An integrative course in cognitive science focusing on the integration and use of concepts and skills from cognitive science.  A different integrative project or set of projects will be taken on each semester; students will contribute on the basis of their background and skills.  Crosslisted with CS, ISYE, and PST 4791.","CS, ISYE, and PST 4791"
PSYC 4792,Design Project in Cognitive Science,3,"Individual project with a cognitive science faculty member, designed as a supplement to the student's senior design project or thesis in their major area. Crosslisted with CS, ISYE, and PST 4792.","CS, ISYE, and PST 4792"
PSYC 4803,Special Topics,3,Special topics or courses of an experimental nature.,
PSYC 4813,Special Topics,3,Special topics or courses of an experimental nature.,
PSYC 4823,Special Topics,3,Special topics or courses of an experimental nature.,
PSYC 4833,Special Topics,3,"Special topics or courses of an experimental nature,",
PSYC 4873,Special Topics,3,,
PSYC 6000,Responsible Conduct of Research (RCR),1,"Topics include research misconduct, data management, use of animal and human subjects, conflicts of interest and commitment, authorship, publication, peer review , and collaboration and mentoring.",Graduate standing required
PSYC 6011,Cognitive Psychology,3,"Survey course on human cognition including pattern recognition, attention, memory, categorization, problem solving, consciousness, decision making, intention, and the relation between mind and brain.",Graduate standing required
PSYC 6012,Social Psychology,3,"Fundamental theory and research in social behavior including social perception/cognition, attitude formation and change, social influences, and group processes.",Graduate standing required
PSYC 6013,Biopsychology,3,"Neurophysiological, endocrinological, and biochemical bases of sensory and motor functioning, motivation, learning, memory, and behavior dysfunction.",Graduate standing required
PSYC 6014,Sensation and Perception,3,"This course examines how sensations and perceptions of the outside world are processed by humans, including physiological, psychophysical, ecological, and computational perspectives.",Graduate standing required
PSYC 6015,Developmental Psychology,3,"Overview of concepts, assumptions, methods, theories, and research in human development across the life span including cognitive, emotional, and social behavior.",Graduate standing required
PSYC 6016,Experimental Analysis of Behavior,3,"Conceptual, methodological, and theoretical issues in the experimental analysis of behavior with special emphasis on classical and operant conditioning as foundations for complex behavior.",Graduate standing required
PSYC 6017,Human Abilities,3,"Theory, methods, and applications of research on human abilities, including intelligence, aptitude, achievement, learning, aptitude treatment interactions, information processing correlates, and measurement issues.",Graduate standing required
PSYC 6018,Principles of Research Design,3,Introduction to basic principles and practices of empirical research in psychology.  Covers both experimental and correlational methods and designs.,Graduate standing required
PSYC 6019,Statistical Analysis of Psychological Data I,5,Introductory treatment of descriptive and inferential statistics as applied to psychological research.,Graduate standing required
PSYC 6020,Statistical Analysis of Psychological Data II,5,"Introductory treatment of inferential statistics, especially the general linear model, as applied to psychological research.",Graduate standing required
PSYC 6021,Personality Theories,3,"Survey of personality theories, research, and methods of assessment.",Graduate standing required
PSYC 6022,Psychological Statistics for HCI,4,Introduction to statistical methods as applied to psychological data within the HCI domain.  Credit not allowed for both PSYC 6022 and PSYC 2020 .,Credit restriction: PSYC 6022 and PSYC 2020; Graduate standing required; PSYC 6022 and PSYC 2020
PSYC 6023,Psychological Research Methods for HCI,4,Introduction to psychological research methods within the HCI domain. Credit not allowed for both PSYC 6023 and PSYC 2020 .,Credit restriction: PSYC 6023 and PSYC 2020; Graduate standing required; PSYC 6023 and PSYC 2020
PSYC 6031,Engineering Psychology: Analysis Techniques,2,This course covers the basic analysis techniques used to investigate human-machine systems and human performance.,Graduate standing required
PSYC 6032,Engineering Psychology: Environmental Stressors and Performance,1,"This course covers environmental stressors and their influence on human performance.  Emphasis will be placed onnoise, lighting, micro-gravity and atmospheric conditions.",Graduate standing required
PSYC 6033,Engineering Psyc: Cognitive Ergonomics,1,This course applies the research findings from cognitive psychology to the design of products and systems that involve people.,Graduate standing required
PSYC 6034,Engineering Psyc: Displays,1,This course covers the basic human factors principles involved in display formatting.,Graduate standing required
PSYC 6035,Engineering Psyc: Controls and Workspace,1,This course covers the basic human factors principles involved in controls and workspace layout.,Graduate standing required
PSYC 6040,Current Topics in Cognition and Brain Sciences,1,This course presents current research topics in cognition and brain science.,Graduate standing required
PSYC 6041,Current Topics in Cognitive Aging,1,This course presents current research topics in cognitive aging.,Graduate standing required
PSYC 6042,Neuroimaging: From Image to Inference,3,This course details the potential and limits of fMRI and critically evaluates the inferences that can be drawn from fMRI studies.,Graduate standing required
PSYC 6043,Engineering Psychology Research Seminar,1,This course presents current research topics in engineering psychology.,Graduate standing required
PSYC 6060,Psychology of Aging,3,"A survey covering psychological aspects of aging, mind, and behavior (perception, cognition, emotion, mental health) and topics relevant to adulthood (e.g. caregiving and retirement).",Graduate standing required
PSYC 6090,Cognitive Neuroscience,3,"Examines the foundations of Cognitive Neuroscience, including the biological mechanisms underlying cognition, the dominant theories, and the experimental techniques.",Graduate standing required
PSYC 6270,Psychological Testing,3,Fundamentals of psychological testing. Topics include test construction and application issues.,Graduate standing required
PSYC 6750,Human-Computer Interface,3,Describes the characteristics of interaction between humans and computers and demonstrates techniques for the evaluation of user-centered systems. Crosslisted with CS 6750 .,Graduate standing required; CS 6750
PSYC 6753,Human-Computer Interaction-Professional Preparation and Practice,1,"Preparation for a professional career in HCI. Hands-on workshops in resume and portfolio building, interviewing, public speaking, team work. HCI career choices and trajectories.",Graduate standing required
PSYC 6755,Human-Computer Interaction Foundations,3,Describes the theory and practice of designing effective and efficient interactions between people and technology.,Graduate standing required
PSYC 6795,Introduction to Cognitive Science,3,"Multidisciplinary perspectives on cognitive science. Interdisciplinary approaches to issues in cognition, including memory, language, problem solving, learning, perception, and action. Crosslisted with CS and ISYE 6795 .",Graduate standing required; CS and ISYE 6795
PSYC 7020,Survey of Cognitive Aging,3,"Introduction to theory and research on adult cognitive development, including intelligence, attention, memory, and problem solving.",Graduate standing required
PSYC 7101,Engineering Psychology I: Methods,3,Basic methods used to study human-machine systems including both system analysis and human performance evaluation techniques. These methods will be applied to specific systems.,Graduate standing required
PSYC 7102,"Engineering Psychology II: Displays, Controls, and Workspace",3,"Basic principles of human factors for the design, evaluation, and use of displays, controls, and workspace layouts including new technologies and associated human factors problems.",Graduate standing required
PSYC 7103,Engineering Psychology III: Environmental Stressors and Human Performance,3,"Environmental stressors and their influences on human performance, physiological function, and emotional responses including work/rest cycles, jetlag, noise, vibration, glare, weightlessness, etc.",Graduate standing required
PSYC 7104,Psychomotor and Cognitive Skill Learning and Performance,3,Human capabilities and limitations for learning and performing psychomotor and cognitive skills are studied.,Graduate standing required
PSYC 7105,First-year Research Project I,3,First year graduate students will initiate a research project.,Graduate standing required
PSYC 7106,First-year Research Project II,3,First year graduate students will complete a research project.,Graduate standing required
PSYC 7201,Industrial/Organizational Psychology,3,This course introduces an overview of issues relevant to behavior in the workplace and psychology applied in industrial and organizational settings.,Graduate standing required
PSYC 7202,Employee Selection,3,"The course provides a conceptual framework for personnel selection guided by scientific principles, research, and theory as well as by professional, legal, and technical guidelines.",Graduate standing required
PSYC 7203,Motivation and Job Attitudes,3,"Examines theory and pragmatics in description, prediction, and measurement of work-related behavior and associated evaluations. Includes theoretical and methodological problems in field and laboratory contexts.",Graduate standing required
